index,num
1,1149
2,7921
3,0097
4,0171
5,0265
6,5482
7,3950
8,7507
9,2664
10,2436
11,0254
12,9722
13,4673
14,1409
15,6419
16,0524
17,8697
18,3062
19,1013
20,2264
21,3825
22,7059
23,0283
24,2321
25,4556
26,3360
27,4908
28,3466
29,2061
30,7566
31,4830
32,4575
33,5819
34,7521
35,4703
36,9776
37,6941
38,8634
39,5560
40,5584
41,0228
42,9875
43,5031
44,4742
45,5543
46,9476
47,9125
48,5074
49,6910
50,0021
51,7598
52,5053
53,9040
54,3895
55,6780
56,9981
57,1398
58,3042
59,8885
60,6373
61,7882
62,5608
63,9123
64,8844
65,9819
66,2098
67,4881
68,4214
69,2792
70,5094
71,0948
72,0084
73,2341
74,3011
75,2332
76,5531
77,6406
78,6536
79,1742
80,0437
81,3503
82,1770
83,9047
84,6580
85,2624
86,0684
87,7676
88,2562
89,1614
90,7696
91,0330
92,8721
93,9056
94,8526
95,6282
96,6992
97,2866
98,4943
99,2072
100,5614
101,1471
102,4036
103,8050
104,2958
105,6204
106,9063
107,0539
108,9852
109,3593
110,1697
111,8011
112,4191
113,9163
114,3943
115,4101
116,7410
117,2689
118,7435
119,3010
120,3583
121,2645
122,8578
123,1165
124,0942
125,5762
126,6577
127,9054
128,3315
129,9846
130,4092
131,8831
132,5566
133,5660
134,6890
135,3409
136,4023
137,9017
138,4073
139,7871
140,1099
141,2139
142,2516
143,3752
144,4681
145,8567
146,2115
147,2209
148,6901
149,7707
150,5825
151,3056
152,0225
153,5468
154,1470
155,0171
156,8957
157,9254
158,2579
159,4034
160,5741
161,6627
162,3588
163,2207
164,5492
165,8090
166,0007
167,8092
168,5739
169,4946
170,8695
171,4820
172,0744
173,6042
174,4544
175,8670
176,5994
177,0978
178,8734
179,3568
180,9989
181,8132
182,2057
183,6416
184,5570
185,7284
186,5010
187,4640
188,9167
189,7981
190,6332
191,7301
192,3371
193,5312
194,1745
195,8693
196,8316
197,2697
198,8234
199,7656
200,7441
201,2398
202,7202
203,2210
204,7832
205,5797
206,0382
207,7913
208,9170
209,6613
210,7158
211,5301
212,9475
213,7251
214,1449
215,2223
216,4695
217,4316
218,3698
219,6623
220,6684
221,2507
222,0887
223,1041
224,0239
225,4147
226,5886
227,5369
228,9889
229,9171
230,7411
231,7565
232,8532
233,1985
234,7671
235,4080
236,1493
237,5051
238,9401
239,0438
240,1173
241,0557
242,7754
243,7702
244,4612
245,2108
246,0747
247,0127
248,6178
249,6471
250,4590
251,6937
252,9871
253,9434
254,6805
255,6757
256,8575
257,0930
258,4714
259,5339
260,1203
261,2045
262,6628
263,4185
264,9888
265,4112
266,2310
267,5949
268,8375
269,0628
270,6023
271,3730
272,0613
273,2992
274,1026
275,0800
276,0576
277,0999
278,9303
279,0178
280,2937
281,4834
282,8882
283,8106
284,5086
285,0295
286,6670
287,1689
288,2867
289,6254
290,2990
291,7264
292,3009
293,8289
294,8516
295,2814
296,6809
297,9041
298,9472
299,2565
300,1116
301,7554
302,5049
303,5090
304,6444
305,7227
306,6279
307,4014
308,1879
309,6418
310,7215
311,8466
312,2796
313,4821
314,5118
315,9989
316,0535
317,1650
318,3614
319,7312
320,0552
321,5913
322,7178
323,7592
324,0354
325,1035
326,9759
327,1662
328,2919
329,3701
330,7499
331,2055
332,6460
333,2042
334,3776
335,9750
336,6557
337,5009
338,5560
339,6989
340,1574
341,3878
342,9295
343,3748
344,2789
345,9860
346,4483
347,6603
348,3531
349,6110
350,4652
351,0609
352,2134
353,8586
354,6499
355,1348
356,5075
357,6876
358,1426
359,9072
360,5574
361,3702
362,6312
363,0242
364,3686
365,6228
366,6907
367,4980
368,8573
369,1059
370,0129
371,6228
372,6526
373,8134
374,5111
375,1128
376,5022
377,4204
378,1893
379,1620
380,0941
381,0256
382,3430
383,2042
384,8433
385,0034
386,6560
387,8301
388,0154
389,5201
390,0307
391,8369
392,3779
393,2957
394,9626
395,3829
396,2002
397,9348
398,7143
399,0884
400,6980
401,2997
402,9570
403,6739
404,9332
405,3337
406,9698
407,6700
408,9477
409,0422
410,5352
411,6891
412,9995
413,3786
414,2154
415,3354
416,4123
417,8840
418,4637
419,9002
420,6237
421,9088
422,9683
423,3149
424,8991
425,3914
426,8550
427,4521
428,9230
429,4532
430,4731
431,9901
432,5776
433,9200
434,4288
435,5654
436,9945
437,5711
438,5473
439,1580
440,2548
441,5309
442,6431
443,3151
444,9922
445,9657
446,4590
447,0121
448,4356
449,7341
450,1983
451,1224
452,1950
453,2750
454,5357
455,0093
456,6719
457,7893
458,0912
459,7228
460,5963
461,9837
462,8955
463,5905
464,6534
465,6933
466,6081
467,3083
468,8319
469,0051
470,9274
471,1782
472,4070
473,8571
474,0941
475,0161
476,7466
477,9699
478,6768
479,7788
480,5669
481,2952
482,5902
483,7316
484,0189
485,6835
486,9168
487,6231
488,3307
489,9888
490,7509
491,0031
492,2596
493,5494
494,1564
495,0415
496,9541
497,5227
498,5212
499,9236
500,4579
501,3070
502,5967
503,4197
504,7382
505,6779
506,5246
507,3175
508,0907
509,0965
510,5940
511,1258
512,0998
513,0069
514,9036
515,0871
516,3421
517,7362
518,2664
519,8910
520,8225
521,8242
522,9677
523,4761
524,4056
525,3807
526,7333
527,8966
528,6564
529,2644
530,2709
531,4139
532,9790
533,9669
534,0771
535,9568
536,5950
537,8622
538,5225
539,9778
540,8966
541,2787
542,5824
543,6489
544,6865
545,2253
546,3053
547,7623
548,9090
549,1094
550,9033
551,5623
552,9806
553,2809
554,7731
555,9888
556,8945
557,6991
558,7787
559,7671
560,6054
561,0524
562,7764
563,3389
564,8722
565,7936
566,0313
567,5236
568,5519
569,9009
570,5700
571,3237
572,2183
573,0745
574,5910
575,8093
576,2153
577,9461
578,9749
579,3556
580,6531
581,9863
582,7685
583,9919
584,3423
585,7041
586,7272
587,8200
588,0305
589,1259
590,1069
591,3308
592,3387
593,3576
594,1050
595,0450
596,8251
597,8772
598,4632
599,7438
600,4802
601,5068
602,7915
603,4344
604,1615
605,8388
606,5307
607,1996
608,8173
609,4102
610,3141
611,8486
612,1148
613,8880
614,4293
615,1271
616,3487
617,7732
618,6142
